onset,offset,label,type,onset_sample,offset_sample,length,path,edge_path,bird,fold
5153.594667,5153.599167,1,voc,154607840,154607975,135,spec/NB_Ch3/voc/NB_Ch3_154607840.jpg,edge/NB_Ch3/voc/NB_Ch3_154607840.jpg,NB_Ch3,0
1582.128867,1582.141233,1,voc,47463866,47464236,370,spec/NB_Ch3/voc/NB_Ch3_47463866.jpg,edge/NB_Ch3/voc/NB_Ch3_47463866.jpg,NB_Ch3,0
2498.148767,2498.2245,1,voc,74944463,74946735,2272,spec/NB_Ch3/voc/NB_Ch3_74944463.jpg,edge/NB_Ch3/voc/NB_Ch3_74944463.jpg,NB_Ch3,0
5231.761267,5231.7647,1,voc,156952838,156952941,103,spec/NB_Ch3/voc/NB_Ch3_156952838.jpg,edge/NB_Ch3/voc/NB_Ch3_156952838.jpg,NB_Ch3,0
67.010067,67.016767,1,voc,2010302,2010503,201,spec/NB_Ch3/voc/NB_Ch3_2010302.jpg,edge/NB_Ch3/voc/NB_Ch3_2010302.jpg,NB_Ch3,0
3926.601867,3926.696733,1,voc,117798056,117800901,2845,spec/NB_Ch3/voc/NB_Ch3_117798056.jpg,edge/NB_Ch3/voc/NB_Ch3_117798056.jpg,NB_Ch3,0
770.4413,770.445933,1,voc,23113239,23113377,138,spec/NB_Ch3/voc/NB_Ch3_23113239.jpg,edge/NB_Ch3/voc/NB_Ch3_23113239.jpg,NB_Ch3,0
2628.289633,2628.293,1,voc,78848688,78848790,102,spec/NB_Ch3/voc/NB_Ch3_78848688.jpg,edge/NB_Ch3/voc/NB_Ch3_78848688.jpg,NB_Ch3,0
4721.822967,4721.827633,1,voc,141654689,141654828,139,spec/NB_Ch3/voc/NB_Ch3_141654689.jpg,edge/NB_Ch3/voc/NB_Ch3_141654689.jpg,NB_Ch3,0
2077.8122,2077.843367,1,voc,62334365,62335301,936,spec/NB_Ch3/voc/NB_Ch3_62334365.jpg,edge/NB_Ch3/voc/NB_Ch3_62334365.jpg,NB_Ch3,0
4960.373767,4960.3785,1,voc,148811213,148811355,142,spec/NB_Ch3/voc/NB_Ch3_148811213.jpg,edge/NB_Ch3/voc/NB_Ch3_148811213.jpg,NB_Ch3,0
4172.081967,4172.0865,1,voc,125162459,125162595,136,spec/NB_Ch3/voc/NB_Ch3_125162459.jpg,edge/NB_Ch3/voc/NB_Ch3_125162459.jpg,NB_Ch3,0
